,game_str_play_id,game_str,play_id,timestamp,event_code,ball_pos,player_positions,player_position,ball_dist_from_o,player_pos_from_o
0,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67373,1,"(-0.956334, 55.6236, 5.09457)","[{7: (-129.6927, 257.6286)}, {8: (-5.5209, 308.6436)}, {9: (124.1271, 248.3889)}]",1,55.86460503005867,"[{7: 288.43143374335955}, {8: 308.6929739365151}, {9: 277.67711932678213}]"
1,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67423,1000,"(-0.73377, 48.891, 5.01744)","[{7: (-129.672, 257.6757)}, {8: (-5.5326, 308.6355)}, {9: (124.1427, 248.349)}]",1000,49.15326035540775,"[{7: 288.4641987396183}, {8: 308.68508471095583}, {9: 277.64840313657487}]"
2,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67473,1000,"(-0.530736, 42.2343, 4.86402)","[{7: (-129.6516, 257.7225)}, {8: (-5.5449, 308.6274)}, {9: (124.1589, 248.3094)}]",1000,42.5167786615131,"[{7: 288.49683601178367}, {8: 308.67720671725993}, {9: 277.62022724861026}]"
3,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67523,1000,"(-0.347229, 35.6541, 4.63431)","[{7: (-129.6309, 257.7693)}, {8: (-5.5575, 308.6187)}, {9: (124.1751, 248.2707)}]",1000,35.95569835178481,"[{7: 288.52934384096875}, {8: 308.66873472371634}, {9: 277.59286002795534}]"
4,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67573,1000,"(-0.1832505, 29.1498, 4.32828)","[{7: (-129.6105, 257.8164)}, {8: (-5.5707, 308.61)}, {9: (124.1922, 248.2332)}]",1000,29.469958068245536,"[{7: 288.5622598664108}, {8: 308.6602740854255}, {9: 277.5669723203393}]"
5,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67623,1000,"(-0.0388017, 22.72173, 3.94599)","[{7: (-129.5901, 257.8632)}, {8: (-5.5848, 308.6013)}, {9: (124.2099, 248.1978)}]",1000,23.06185935359339,"[{7: 288.5949132127072}, {8: 308.6518303084075}, {9: 277.54323479928314}]"
6,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67673,1000,"(0.0861189, 16.3698, 3.48738)","[{7: (-129.5694, 257.91)}, {8: (-5.6001, 308.5929)}, {9: (124.2282, 248.1648)}]",1000,16.737370993359058,"[{7: 288.62743722030314}, {8: 308.64370891113265}, {9: 277.521915592769}]"
7,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67723,1000,"(0.1915101, 10.09401, 2.952504)","[{7: (-129.549, 257.9568)}, {8: (-5.6169, 308.5854)}, {9: (124.2468, 248.1348)}]",1000,10.518697346559508,"[{7: 288.660101273522}, {8: 308.6365154332358}, {9: 277.50341670199305}]"
8,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67773,4,"(0.2773728, 3.89439, 2.341317)","[{7: (-129.5283, 258.0039)}, {8: (-5.6358, 308.5794)}, {9: (124.2651, 248.1084)}]",10,4.55246904841415,"[{7: 288.69290416652086}, {8: 308.63086097472495}, {9: 277.48800555802404}]"
9,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67823,4000,"(-0.1270386, 6.94734, 5.39613)","[{7: (-129.5079, 258.0507)}, {8: (-5.6568, 308.5755)}, {9: (124.2822, 248.0865)}]",10000,8.7977207763369,"[{7: 288.72557893768266}, {8: 308.6273458177191}, {9: 277.4760831478814}]"
10,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67873,4000,"(-0.500133, 12.42657, 9.16719)","[{7: (-129.4872, 258.0975)}, {8: (-5.6805, 308.5749)}, {9: (124.2969, 248.0697)}]",10000,15.450150403108992,"[{7: 288.75812450923354}, {8: 308.627181223981}, {9: 277.46764749732534}]"
11,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67923,4000,"(-0.867099, 17.82924, 12.84411)","[{7: (-129.4668, 258.1446)}, {8: (-5.7069, 308.5785)}, {9: (124.3083, 248.0589)}]",10000,21.991016832913868,"[{7: 288.7910781367735}, {8: 308.6312676477547}, {9: 277.4630990205725}]"
12,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,67973,4000,"(-1.22799, 23.1561, 16.42755)","[{7: (-129.4464, 258.1914)}, {8: (-5.7366, 308.5875)}, {9: (124.3143, 248.0547)}]",10000,28.417905018713114,"[{7: 288.8237689438319}, {8: 308.64081670415857}, {9: 277.4620323153782}]"
13,1883_001_Vis1AB_Home1A_2,1883_001_Vis1AB_Home1A,2,68023,4000,"(-1.582863, 28.40802, 19.9182)","[{7: (-129.4257, 258.2382)}, {8: (-5.7693, 308.6034)}, {9: (124.3134, 248.058)}]",10000,34.731192706804194,"[{7: 288.85633065544886}, {8: 308.6573234414664}, {9: 277.46457933141664}]"
