"game_str","play_id","timestamp","player_position","field_x","field_y"
"1884_043.5_Vis2AK_Home2A",1,36324,1,-0.3069,56.5533
"1884_043.5_Vis2AK_Home2A",1,36324,2,0.0168,-5.0409
"1884_043.5_Vis2AK_Home2A",1,36324,3,64.4976,100.6374
"1884_043.5_Vis2AK_Home2A",1,36324,4,31.3104,146.3847
"1884_043.5_Vis2AK_Home2A",1,36324,5,-47.8587,72.5445
"1884_043.5_Vis2AK_Home2A",1,36324,6,-46.5246,142.6059
"1884_043.5_Vis2AK_Home2A",1,36324,7,-124.2369,266.3349
"1884_043.5_Vis2AK_Home2A",1,36324,8,-3.2568,313.0398
"1884_043.5_Vis2AK_Home2A",1,36324,9,124.5768,254.2161
"1884_043.5_Vis2AK_Home2A",1,36324,10,-2.1318,0.9924
"1884_043.5_Vis2AK_Home2A",1,36324,15,87.891,85.3281
"1884_043.5_Vis2AK_Home2A",1,36324,18,89.67,72.5352
"1884_043.5_Vis2AK_Home2A",1,36324,19,-81.9219,71.2308
"1884_043.5_Vis2AK_Home2A",1,36357,1,-0.3012,56.4114
"1884_043.5_Vis2AK_Home2A",1,36357,2,0.0087,-5.0349
"1884_043.5_Vis2AK_Home2A",1,36357,3,64.4562,100.5975
"1884_043.5_Vis2AK_Home2A",1,36357,4,31.3122,146.2374
"1884_043.5_Vis2AK_Home2A",1,36357,5,-47.8086,72.3939
"1884_043.5_Vis2AK_Home2A",1,36357,6,-46.476,142.5369
"1884_043.5_Vis2AK_Home2A",1,36357,7,-124.2855,266.3823
"1884_043.5_Vis2AK_Home2A",1,36357,8,-3.2778,313.0353
"1884_043.5_Vis2AK_Home2A",1,36357,9,124.4652,254.1849
"1884_043.5_Vis2AK_Home2A",1,36357,10,-2.1453,1.0281
"1884_043.5_Vis2AK_Home2A",1,36357,15,87.849,85.29
"1884_043.5_Vis2AK_Home2A",1,36357,18,89.6661,72.5337
"1884_043.5_Vis2AK_Home2A",1,36357,19,-81.9219,71.2308
"1884_043.5_Vis2AK_Home2A",1,36390,1,-0.2952,56.28
"1884_043.5_Vis2AK_Home2A",1,36390,2,6e-04,-5.0289
"1884_043.5_Vis2AK_Home2A",1,36390,3,64.4145,100.5525
"1884_043.5_Vis2AK_Home2A",1,36390,4,31.3143,146.0796
"1884_043.5_Vis2AK_Home2A",1,36390,5,-47.7537,72.2343
"1884_043.5_Vis2AK_Home2A",1,36390,6,-46.4235,142.4628
"1884_043.5_Vis2AK_Home2A",1,36390,7,-124.3323,266.4279
"1884_043.5_Vis2AK_Home2A",1,36390,8,-3.2943,313.0308
"1884_043.5_Vis2AK_Home2A",1,36390,9,124.3548,254.1522
"1884_043.5_Vis2AK_Home2A",1,36390,10,-2.1588,1.0641
"1884_043.5_Vis2AK_Home2A",1,36390,15,87.8103,85.2513
"1884_043.5_Vis2AK_Home2A",1,36390,18,89.6628,72.5319
"1884_043.5_Vis2AK_Home2A",1,36390,19,-81.9219,71.2305
"1884_043.5_Vis2AK_Home2A",1,36423,1,-0.2886,56.1597
"1884_043.5_Vis2AK_Home2A",1,36423,2,-0.0072,-5.0229
"1884_043.5_Vis2AK_Home2A",1,36423,3,64.3722,100.5021
"1884_043.5_Vis2AK_Home2A",1,36423,4,31.3158,145.911
"1884_043.5_Vis2AK_Home2A",1,36423,5,-47.6937,72.0657
"1884_043.5_Vis2AK_Home2A",1,36423,6,-46.3671,142.3839
"1884_043.5_Vis2AK_Home2A",1,36423,7,-124.3818,266.4759
"1884_043.5_Vis2AK_Home2A",1,36423,8,-3.3066,313.0269
"1884_043.5_Vis2AK_Home2A",1,36423,9,124.2459,254.1186
"1884_043.5_Vis2AK_Home2A",1,36423,10,-2.1723,1.1004
"1884_043.5_Vis2AK_Home2A",1,36423,15,87.7752,85.212
"1884_043.5_Vis2AK_Home2A",1,36423,18,89.6601,72.5301
"1884_043.5_Vis2AK_Home2A",1,36423,19,-81.9219,71.2305
"1884_043.5_Vis2AK_Home2A",1,36456,1,-0.2823,56.0508
"1884_043.5_Vis2AK_Home2A",1,36456,2,-0.0153,-5.0169
"1884_043.5_Vis2AK_Home2A",1,36456,3,64.329,100.446
"1884_043.5_Vis2AK_Home2A",1,36456,4,31.3167,145.7316
"1884_043.5_Vis2AK_Home2A",1,36456,5,-47.6283,71.8881
"1884_043.5_Vis2AK_Home2A",1,36456,6,-46.3071,142.3002
"1884_043.5_Vis2AK_Home2A",1,36456,7,-124.4307,266.5233
"1884_043.5_Vis2AK_Home2A",1,36456,8,-3.3153,313.0236
"1884_043.5_Vis2AK_Home2A",1,36456,9,124.1385,254.0838
"1884_043.5_Vis2AK_Home2A",1,36456,10,-2.1855,1.137
"1884_043.5_Vis2AK_Home2A",1,36456,15,87.7431,85.1724
"1884_043.5_Vis2AK_Home2A",1,36456,18,89.6577,72.5283
"1884_043.5_Vis2AK_Home2A",1,36456,19,-81.9219,71.2305
"1884_043.5_Vis2AK_Home2A",1,36489,1,-0.2763,55.9527
"1884_043.5_Vis2AK_Home2A",1,36489,2,-0.0234,-5.0109
"1884_043.5_Vis2AK_Home2A",1,36489,3,64.2855,100.3842
"1884_043.5_Vis2AK_Home2A",1,36489,4,31.317,145.5417
"1884_043.5_Vis2AK_Home2A",1,36489,5,-47.5578,71.7018
"1884_043.5_Vis2AK_Home2A",1,36489,6,-46.2441,142.212
"1884_043.5_Vis2AK_Home2A",1,36489,7,-124.4793,266.5704
"1884_043.5_Vis2AK_Home2A",1,36489,8,-3.3207,313.0212
"1884_043.5_Vis2AK_Home2A",1,36489,9,124.0329,254.0487
"1884_043.5_Vis2AK_Home2A",1,36489,10,-2.1984,1.1742
"1884_043.5_Vis2AK_Home2A",1,36489,15,87.714,85.1331
"1884_043.5_Vis2AK_Home2A",1,36489,18,89.6559,72.5262
"1884_043.5_Vis2AK_Home2A",1,36489,19,-81.9219,71.2305
"1884_043.5_Vis2AK_Home2A",1,36522,1,-0.2703,55.8654
"1884_043.5_Vis2AK_Home2A",1,36522,2,-0.0312,-5.0049
"1884_043.5_Vis2AK_Home2A",1,36522,3,64.2408,100.3167
"1884_043.5_Vis2AK_Home2A",1,36522,4,31.3167,145.3419
"1884_043.5_Vis2AK_Home2A",1,36522,5,-47.4825,71.5074
"1884_043.5_Vis2AK_Home2A",1,36522,6,-46.1781,142.1199
"1884_043.5_Vis2AK_Home2A",1,36522,7,-124.5273,266.6166
"1884_043.5_Vis2AK_Home2A",1,36522,8,-3.3237,313.0203
"1884_043.5_Vis2AK_Home2A",1,36522,9,123.9294,254.0133
"1884_043.5_Vis2AK_Home2A",1,36522,10,-2.2113,1.2117
"1884_043.5_Vis2AK_Home2A",1,36522,15,87.6876,85.0941
"1884_043.5_Vis2AK_Home2A",1,36522,18,89.6547,72.5241
"1884_043.5_Vis2AK_Home2A",1,36522,19,-81.9219,71.2302
"1884_043.5_Vis2AK_Home2A",1,36555,1,-0.2649,55.7886
"1884_043.5_Vis2AK_Home2A",1,36555,2,-0.0393,-4.9989
"1884_043.5_Vis2AK_Home2A",1,36555,3,64.1955,100.2438
"1884_043.5_Vis2AK_Home2A",1,36555,4,31.3155,145.1325
"1884_043.5_Vis2AK_Home2A",1,36555,5,-47.4024,71.3049
"1884_043.5_Vis2AK_Home2A",1,36555,6,-46.1097,142.0242
"1884_043.5_Vis2AK_Home2A",1,36555,7,-124.5765,266.6634
"1884_043.5_Vis2AK_Home2A",1,36555,8,-3.3246,313.0203
"1884_043.5_Vis2AK_Home2A",1,36555,9,123.8274,253.9773
"1884_043.5_Vis2AK_Home2A",1,36555,10,-2.2239,1.2495
"1884_043.5_Vis2AK_Home2A",1,36555,15,87.6639,85.0554
"1884_043.5_Vis2AK_Home2A",1,36555,18,89.6541,72.522
"1884_043.5_Vis2AK_Home2A",1,36555,19,-81.9219,71.2302
"1884_043.5_Vis2AK_Home2A",1,36588,1,-0.2598,55.7214
"1884_043.5_Vis2AK_Home2A",1,36588,2,-0.0471,-4.9929
"1884_043.5_Vis2AK_Home2A",1,36588,3,64.1496,100.1655
"1884_043.5_Vis2AK_Home2A",1,36588,4,31.3131,144.9144
"1884_043.5_Vis2AK_Home2A",1,36588,5,-47.3181,71.0952
"1884_043.5_Vis2AK_Home2A",1,36588,6,-46.0386,141.9255
"1884_043.5_Vis2AK_Home2A",1,36588,7,-124.626,266.7108
"1884_043.5_Vis2AK_Home2A",1,36588,8,-3.324,313.0215
"1884_043.5_Vis2AK_Home2A",1,36588,9,123.7269,253.9413
"1884_043.5_Vis2AK_Home2A",1,36588,10,-2.2362,1.2876
"1884_043.5_Vis2AK_Home2A",1,36588,15,87.6423,85.017
"1884_043.5_Vis2AK_Home2A",1,36588,18,89.6538,72.5196
"1884_043.5_Vis2AK_Home2A",1,36588,19,-81.9219,71.2302
"1884_043.5_Vis2AK_Home2A",1,36621,1,-0.2553,55.6635
"1884_043.5_Vis2AK_Home2A",1,36621,2,-0.0552,-4.9866
"1884_043.5_Vis2AK_Home2A",1,36621,3,64.1031,100.0824
"1884_043.5_Vis2AK_Home2A",1,36621,4,31.3098,144.6885
"1884_043.5_Vis2AK_Home2A",1,36621,5,-47.2302,70.8789
"1884_043.5_Vis2AK_Home2A",1,36621,6,-45.966,141.8244
"1884_043.5_Vis2AK_Home2A",1,36621,7,-124.6737,266.7558
"1884_043.5_Vis2AK_Home2A",1,36621,8,-3.3222,313.0239
"1884_043.5_Vis2AK_Home2A",1,36621,9,123.6279,253.905
"1884_043.5_Vis2AK_Home2A",1,36621,10,-2.2491,1.3257
"1884_043.5_Vis2AK_Home2A",1,36621,15,87.6231,84.9792
"1884_043.5_Vis2AK_Home2A",1,36621,18,89.6538,72.5172
"1884_043.5_Vis2AK_Home2A",1,36621,19,-81.9219,71.2302
"1884_043.5_Vis2AK_Home2A",1,36654,1,-0.2508,55.6137
"1884_043.5_Vis2AK_Home2A",1,36654,2,-0.0633,-4.9806
"1884_043.5_Vis2AK_Home2A",1,36654,3,64.0557,99.9948
"1884_043.5_Vis2AK_Home2A",1,36654,4,31.3056,144.456
"1884_043.5_Vis2AK_Home2A",1,36654,5,-47.1387,70.6572
"1884_043.5_Vis2AK_Home2A",1,36654,6,-45.8916,141.7209
"1884_043.5_Vis2AK_Home2A",1,36654,7,-124.7244,266.8035
"1884_043.5_Vis2AK_Home2A",1,36654,8,-3.3198,313.0269
"1884_043.5_Vis2AK_Home2A",1,36654,9,123.5295,253.8678
"1884_043.5_Vis2AK_Home2A",1,36654,10,-2.262,1.3638
"1884_043.5_Vis2AK_Home2A",1,36654,15,87.606,84.9414
"1884_043.5_Vis2AK_Home2A",1,36654,18,89.6541,72.5148
"1884_043.5_Vis2AK_Home2A",1,36654,19,-81.9222,71.2302
"1884_043.5_Vis2AK_Home2A",1,36687,1,-0.2469,55.5711
"1884_043.5_Vis2AK_Home2A",1,36687,2,-0.0711,-4.9746
"1884_043.5_Vis2AK_Home2A",1,36687,3,64.0077,99.9036
"1884_043.5_Vis2AK_Home2A",1,36687,4,31.3005,144.2175
"1884_043.5_Vis2AK_Home2A",1,36687,5,-47.0451,70.4304
"1884_043.5_Vis2AK_Home2A",1,36687,6,-45.8157,141.6159
"1884_043.5_Vis2AK_Home2A",1,36687,7,-124.7733,266.8491
"1884_043.5_Vis2AK_Home2A",1,36687,8,-3.3174,313.0311
"1884_043.5_Vis2AK_Home2A",1,36687,9,123.4323,253.8306
"1884_043.5_Vis2AK_Home2A",1,36687,10,-2.2749,1.4016
"1884_043.5_Vis2AK_Home2A",1,36687,15,87.5901,84.9042
"1884_043.5_Vis2AK_Home2A",1,36687,18,89.6547,72.5127
"1884_043.5_Vis2AK_Home2A",1,36687,19,-81.9222,71.2299
"1884_043.5_Vis2AK_Home2A",1,36720,1,-0.243,55.5342
"1884_043.5_Vis2AK_Home2A",1,36720,2,-0.0792,-4.9686
"1884_043.5_Vis2AK_Home2A",1,36720,3,63.9594,99.8094
"1884_043.5_Vis2AK_Home2A",1,36720,4,31.2945,143.9745
"1884_043.5_Vis2AK_Home2A",1,36720,5,-46.9494,70.1997
"1884_043.5_Vis2AK_Home2A",1,36720,6,-45.7389,141.5094
"1884_043.5_Vis2AK_Home2A",1,36720,7,-124.8222,266.8938
"1884_043.5_Vis2AK_Home2A",1,36720,8,-3.3147,313.0356
"1884_043.5_Vis2AK_Home2A",1,36720,9,123.3354,253.7928
"1884_043.5_Vis2AK_Home2A",1,36720,10,-2.2881,1.4397
"1884_043.5_Vis2AK_Home2A",1,36720,15,87.5757,84.867
"1884_043.5_Vis2AK_Home2A",1,36720,18,89.6553,72.5103
"1884_043.5_Vis2AK_Home2A",1,36720,19,-81.9222,71.2299
"1884_043.5_Vis2AK_Home2A",1,36753,1,-0.2391,55.5015
"1884_043.5_Vis2AK_Home2A",1,36753,2,-0.0873,-4.9626
"1884_043.5_Vis2AK_Home2A",1,36753,3,63.9108,99.7131
"1884_043.5_Vis2AK_Home2A",1,36753,4,31.2879,143.7282
"1884_043.5_Vis2AK_Home2A",1,36753,5,-46.8525,69.9663
"1884_043.5_Vis2AK_Home2A",1,36753,6,-45.6612,141.402
"1884_043.5_Vis2AK_Home2A",1,36753,7,-124.8726,266.9385
"1884_043.5_Vis2AK_Home2A",1,36753,8,-3.3123,313.0407
"1884_043.5_Vis2AK_Home2A",1,36753,9,123.2394,253.7547
"1884_043.5_Vis2AK_Home2A",1,36753,10,-2.3013,1.4775
"1884_043.5_Vis2AK_Home2A",1,36753,15,87.5619,84.8301
"1884_043.5_Vis2AK_Home2A",1,36753,18,89.6559,72.5082
"1884_043.5_Vis2AK_Home2A",1,36753,19,-81.9225,71.2299
"1884_043.5_Vis2AK_Home2A",1,36786,1,-0.2349,55.4715
"1884_043.5_Vis2AK_Home2A",1,36786,2,-0.0951,-4.9566
"1884_043.5_Vis2AK_Home2A",1,36786,3,63.8619,99.6153
"1884_043.5_Vis2AK_Home2A",1,36786,4,31.281,143.4792
"1884_043.5_Vis2AK_Home2A",1,36786,5,-46.7547,69.7311
"1884_043.5_Vis2AK_Home2A",1,36786,6,-45.5835,141.294
"1884_043.5_Vis2AK_Home2A",1,36786,7,-124.9251,266.982
"1884_043.5_Vis2AK_Home2A",1,36786,8,-3.3102,313.0464
"1884_043.5_Vis2AK_Home2A",1,36786,9,123.1434,253.7166
"1884_043.5_Vis2AK_Home2A",1,36786,10,-2.3145,1.5156
"1884_043.5_Vis2AK_Home2A",1,36786,15,87.549,84.7935
"1884_043.5_Vis2AK_Home2A",1,36786,18,89.6565,72.5058
