distance,time,angle,catch
84.31924293451641,2300,329.44269609493267,0
269.00776028860207,4450,128.29250952466452,0
231.63021383586815,3650,218.93425810384556,0
135.81478685409223,3650,33.483482848768745,0
286.02284023526863,4200,273.418290584297,0
65.26586525052741,1900,302.0892852155574,0
37.52999368105463,4200,313.42757992036,1
185.654507807621,3200,264.8442140972911,0
205.49571883759523,4950,331.0772131619095,0
268.30340467016066,3100,333.42385438051696,0
100.91559886211843,5700,139.9055955034463,0
254.1445879932327,5100,347.7577931687399,0
229.99479097310007,850,137.0575472295696,0
276.3322322627782,50,73.79902434397076,0
182.19381306457694,3750,263.62585610205406,0
252.46574944758348,4200,200.25672219145858,0
95.54502747422285,5600,115.41814554738176,1
92.85429153119419,2500,225.97419274378052,0
240.73560454307545,4350,335.88959046313556,0
317.56525489121134,5550,294.6718427698665,0
224.42176017489925,3800,255.86537455731784,0
113.76927891533329,3600,284.8319672356004,0
16.442870431892352,2650,188.57988781214937,1
151.57585828464374,3100,283.63302195022504,0
276.3290963223743,3432,267.1996206334222,0
235.81545352605713,4100,192.50473356183755,0
73.4009228934487,3000,7.405286170542524,0
228.79767785753614,600,179.18366460364803,0
295.8999372038629,4000,143.49469626250067,0
199.9050682337244,5400,170.76139490831198,0
51.89924266008128,3350,330.59681300205864,1
265.54157074213447,6000,240.29089931374236,0
115.72656984482862,4750,98.79612502720533,0
207.09093159720925,4350,175.44746609673405,0
164.21488640976372,4026,221.81815470393178,0
231.68789524746433,1287,290.402924011469,0
243.3749262184788,6039,259.90152797675466,0
129.40146343095628,2772,293.80002873138125,0
46.44781484634125,4818,170.90563990976432,1
57.12305498421804,3366,267.4847909370103,0
222.72171777018062,4224,224.23072014603338,0
211.11800589836008,3201,218.7287393983761,0
206.78367387335007,1716,355.9074214127647,0
241.7228918313282,2112,306.0933185724208,0
148.9224934987942,4587,137.03412444925118,0
56.92118846132784,5000,141.92569945064656,1
261.15467745816846,4500,258.14514468323443,0
67.5006968030701,4587,144.09606710549562,0
106.33613126355499,2607,157.84735213127155,0
210.28578326952135,891,232.3265290965329,0
206.38443263967366,3927,162.60986672268177,0
73.58683773515479,2574,204.15259795007222,0
210.1752128140947,4900,313.93545993083956,0
62.54007552705705,3700,169.3591817863126,1
170.918750623008,2150,278.1193033206754,0
19.605556307332883,5400,313.88710599734554,1
168.82718871704287,4450,290.8231397638116,0
53.88750112317325,4750,337.7643808236328,1
69.97458175116162,3750,324.73538756322546,0
207.312120239821,1350,348.74218761242844,0
53.87688667508546,3600,14.129903144733362,1
191.63718870159312,5676,165.01393945801289,0
153.69276825307819,1221,280.0483104467813,0
48.72983280178583,5544,13.825551225091601,1
67.23939574840033,4752,214.46111815553118,1
81.0471328392313,2450,298.32602037101924,0
115.35945321732416,5550,167.68879637816212,0
