distance,time,angle,catch
285.81266062863625,50,4.795628221805188,0
121.19645587441902,5350,106.15440159923139,0
122.6278725187553,1600,194.03797883610505,0
93.11191072515913,2550,261.27433740431974,0
116.90559967161539,3900,137.53771792428083,0
177.3053813041217,1100,199.5567004311608,0
93.21691989295721,4450,62.10950742810134,0
73.79417275347696,5000,143.56963775572063,0
108.73802776692244,4450,323.82212500358264,0
168.81203510893408,3950,56.32733809951239,0
113.89496522196623,1750,330.82455984423336,0
83.74812550797839,4700,7.3484674350800105,1
119.37171789018072,2300,228.7554963266555,0
169.88501309323902,2300,249.60851608851175,0
45.13889164179821,4200,75.61013031842938,1
68.87385382596214,3900,68.42085052038651,1
23.85036686698966,5100,138.31392310990736,1
104.56725392420897,3200,336.9636091157438,0
70.56934665454965,4250,353.48866118778085,1
195.18216502357484,950,230.40110919100337,0
167.40121272275778,2000,126.60951918299672,0
185.08663872967708,1050,279.92359977383666,0
156.61385813193544,5350,175.68672993303852,0
73.80717358427974,4050,164.70310359504265,1
66.81656854620715,4900,14.142507502183559,1
107.62543132721933,3150,77.92263235667028,0
179.86628967013243,1518,338.24559665338495,0
128.0925319047914,4257,319.03948923308053,0
61.879518154313395,4686,329.34259180466074,1
150.39258194167593,1188,273.78022145152437,0
69.57110911923137,2310,115.11136786286339,0
276.0649656570895,99,166.34274271293012,0
129.99827337045673,6303,278.80694265402775,0
127.81842159133403,2904,114.8614865983441,0
30.153467443894396,3399,223.60264890271694,1
82.62664376991239,5841,213.8565904842392,1
158.49047135222352,1518,38.03246467511917,0
129.08426038541648,3927,220.5824322141616,0
133.40262060072132,3465,32.34576212817773,0
123.96475041405922,5511,10.786125785343447,0
218.768997264649,5000,30.80673339006274,0
146.06205326737125,2650,187.64084399279628,0
269.99466349274434,250,344.30206933901286,0
33.16801842166637,2450,186.98795848748784,0
208.1322680860659,2950,178.2798574523814,0
267.8973448330948,250,264.3409403274457,0
206.6430540510375,1450,248.40705607767927,0
124.92274454657965,6250,308.36674803065915,0
57.36723000900511,3150,292.1545399468232,1
60.37827786157867,2750,257.85088568222346,0
138.69238842990774,1400,107.57114943519741,0
201.10432115123734,1150,79.13022622005589,0
23.522499094316068,4150,123.52226083720635,1
168.55511564959994,5600,159.22039005044223,0
211.9400033899452,800,1.3836388958516892,0
