"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1884_039_Vis2AJ_Home2A",1,1,1,58536,1,1
"1884_039_Vis2AJ_Home2A",1,1,1,58986,0,5
"1884_039_Vis2AJ_Home2A",1,1,1,58986,2,2
"1884_039_Vis2AJ_Home2A",2,1,2,70486,1,1
"1884_039_Vis2AJ_Home2A",2,1,2,70886,10,4
"1884_039_Vis2AJ_Home2A",2,1,2,70986,0,5
"1884_039_Vis2AJ_Home2A",3,1,3,122136,1,1
"1884_039_Vis2AJ_Home2A",3,1,3,122636,2,2
"1884_039_Vis2AJ_Home2A",3,1,3,122636,0,5
"1884_039_Vis2AJ_Home2A",4,1,4,134886,1,1
"1884_039_Vis2AJ_Home2A",4,1,4,135336,10,4
"1884_039_Vis2AJ_Home2A",4,1,4,135386,0,5
"1884_039_Vis2AJ_Home2A",5,1,5,160886,1,1
"1884_039_Vis2AJ_Home2A",5,1,5,161336,10,4
"1884_039_Vis2AJ_Home2A",5,1,5,163986,255,16
"1884_039_Vis2AJ_Home2A",5,1,5,164986,255,16
"1884_039_Vis2AJ_Home2A",5,1,5,165436,8,2
"1884_039_Vis2AJ_Home2A",5,1,5,167186,8,3
"1884_039_Vis2AJ_Home2A",5,1,5,168736,6,2
"1884_039_Vis2AJ_Home2A",5,1,5,169336,0,5
"1884_039_Vis2AJ_Home2A",6,2,6,196086,1,1
"1884_039_Vis2AJ_Home2A",6,2,6,196536,10,4
"1884_039_Vis2AJ_Home2A",6,2,6,196586,255,16
"1884_039_Vis2AJ_Home2A",6,2,6,198386,4,2
"1884_039_Vis2AJ_Home2A",6,2,6,198836,4,3
"1884_039_Vis2AJ_Home2A",6,2,6,199436,6,2
"1884_039_Vis2AJ_Home2A",6,2,6,199986,6,3
"1884_039_Vis2AJ_Home2A",6,2,6,200836,3,2
"1884_039_Vis2AJ_Home2A",6,2,6,201086,0,5
"1884_039_Vis2AJ_Home2A",7,3,7,231986,1,1
"1884_039_Vis2AJ_Home2A",7,3,7,232486,2,2
"1884_039_Vis2AJ_Home2A",7,3,7,232486,0,5
"1884_039_Vis2AJ_Home2A",8,3,8,247286,1,1
"1884_039_Vis2AJ_Home2A",8,3,8,247786,0,5
"1884_039_Vis2AJ_Home2A",8,3,8,247786,2,2
"1884_039_Vis2AJ_Home2A",9,3,9,262186,1,1
"1884_039_Vis2AJ_Home2A",9,3,9,262586,10,4
"1884_039_Vis2AJ_Home2A",9,3,9,262936,255,16
"1884_039_Vis2AJ_Home2A",9,3,9,263286,255,16
"1884_039_Vis2AJ_Home2A",9,3,9,263836,255,16
"1884_039_Vis2AJ_Home2A",9,3,9,264236,255,16
"1884_039_Vis2AJ_Home2A",9,3,9,264786,6,2
"1884_039_Vis2AJ_Home2A",9,3,9,265586,6,3
"1884_039_Vis2AJ_Home2A",9,3,9,266686,3,2
"1884_039_Vis2AJ_Home2A",9,3,9,266736,0,5
"1884_039_Vis2AJ_Home2A",10,4,10,413336,1,1
"1884_039_Vis2AJ_Home2A",10,4,10,413836,2,2
"1884_039_Vis2AJ_Home2A",10,4,10,413836,0,5
"1884_039_Vis2AJ_Home2A",11,4,11,425036,1,1
"1884_039_Vis2AJ_Home2A",11,4,11,425436,10,4
"1884_039_Vis2AJ_Home2A",11,4,11,428736,8,2
"1884_039_Vis2AJ_Home2A",11,4,11,429036,0,5
"1884_039_Vis2AJ_Home2A",12,5,12,456936,1,1
"1884_039_Vis2AJ_Home2A",12,5,12,457386,2,2
"1884_039_Vis2AJ_Home2A",12,5,12,457386,0,5
"1884_039_Vis2AJ_Home2A",13,5,13,468236,1,1
"1884_039_Vis2AJ_Home2A",13,5,13,468686,0,5
"1884_039_Vis2AJ_Home2A",13,5,13,468686,2,2
"1884_039_Vis2AJ_Home2A",14,5,14,480936,1,1
"1884_039_Vis2AJ_Home2A",14,5,14,481436,0,5
"1884_039_Vis2AJ_Home2A",14,5,14,481436,2,2
"1884_039_Vis2AJ_Home2A",15,5,15,493036,1,1
"1884_039_Vis2AJ_Home2A",15,5,15,493586,2,2
"1884_039_Vis2AJ_Home2A",15,5,15,493586,0,5
"1884_039_Vis2AJ_Home2A",16,6,16,523936,1,1
"1884_039_Vis2AJ_Home2A",16,6,16,524436,0,5
"1884_039_Vis2AJ_Home2A",16,6,16,524436,2,2
"1884_039_Vis2AJ_Home2A",17,6,17,538286,1,1
"1884_039_Vis2AJ_Home2A",17,6,17,538736,10,4
"1884_039_Vis2AJ_Home2A",17,6,17,538836,0,5
"1884_039_Vis2AJ_Home2A",18,6,18,562186,1,1
"1884_039_Vis2AJ_Home2A",18,6,18,562636,10,4
"1884_039_Vis2AJ_Home2A",18,6,18,562836,0,5
"1884_039_Vis2AJ_Home2A",19,6,19,588386,1,1
"1884_039_Vis2AJ_Home2A",19,6,19,588936,2,2
"1884_039_Vis2AJ_Home2A",19,6,19,588936,0,5
"1884_039_Vis2AJ_Home2A",20,7,20,737986,1,1
"1884_039_Vis2AJ_Home2A",20,7,20,738486,0,5
"1884_039_Vis2AJ_Home2A",20,7,20,738486,2,2
"1884_039_Vis2AJ_Home2A",21,7,21,751586,1,1
"1884_039_Vis2AJ_Home2A",21,7,21,752086,2,2
"1884_039_Vis2AJ_Home2A",21,7,21,752086,0,5
"1884_039_Vis2AJ_Home2A",22,7,22,765586,1,1
"1884_039_Vis2AJ_Home2A",22,7,22,766036,2,2
"1884_039_Vis2AJ_Home2A",22,7,22,766036,0,5
"1884_039_Vis2AJ_Home2A",23,7,23,782036,1,1
"1884_039_Vis2AJ_Home2A",23,7,23,782486,0,5
"1884_039_Vis2AJ_Home2A",23,7,23,782486,2,2
"1884_039_Vis2AJ_Home2A",24,8,24,807386,1,1
"1884_039_Vis2AJ_Home2A",24,8,24,807836,2,2
"1884_039_Vis2AJ_Home2A",24,8,24,807836,0,5
"1884_039_Vis2AJ_Home2A",25,8,25,822236,1,1
"1884_039_Vis2AJ_Home2A",25,8,25,822686,10,4
"1884_039_Vis2AJ_Home2A",25,8,25,822786,0,5
"1884_039_Vis2AJ_Home2A",26,8,26,842386,1,1
"1884_039_Vis2AJ_Home2A",26,8,26,842836,0,5
"1884_039_Vis2AJ_Home2A",26,8,26,842836,2,2
"1884_039_Vis2AJ_Home2A",27,9,27,868636,1,1
"1884_039_Vis2AJ_Home2A",27,9,27,869086,2,2
"1884_039_Vis2AJ_Home2A",27,9,27,869086,0,5
"1884_039_Vis2AJ_Home2A",28,9,28,884386,1,1
"1884_039_Vis2AJ_Home2A",28,9,28,884836,10,4
"1884_039_Vis2AJ_Home2A",28,9,28,884886,0,5
"1884_039_Vis2AJ_Home2A",29,9,29,906586,1,1
"1884_039_Vis2AJ_Home2A",29,9,29,906986,10,4
"1884_039_Vis2AJ_Home2A",29,9,29,907186,0,5
"1884_039_Vis2AJ_Home2A",30,9,30,930836,1,1
"1884_039_Vis2AJ_Home2A",30,9,30,931336,0,5
"1884_039_Vis2AJ_Home2A",30,9,30,931336,2,2
"1884_039_Vis2AJ_Home2A",31,9,31,949586,1,1
"1884_039_Vis2AJ_Home2A",31,9,31,949986,10,4
"1884_039_Vis2AJ_Home2A",31,9,31,950086,0,5
"1884_039_Vis2AJ_Home2A",32,9,32,972386,1,1
"1884_039_Vis2AJ_Home2A",32,9,32,972886,0,5
"1884_039_Vis2AJ_Home2A",32,9,32,972886,2,2
"1884_039_Vis2AJ_Home2A",33,10,33,1107936,1,1
"1884_039_Vis2AJ_Home2A",33,10,33,1108436,0,5
"1884_039_Vis2AJ_Home2A",33,10,33,1108436,2,2
"1884_039_Vis2AJ_Home2A",34,10,34,1119936,1,1
"1884_039_Vis2AJ_Home2A",34,10,34,1120436,2,2
"1884_039_Vis2AJ_Home2A",34,10,34,1120436,0,5
"1884_039_Vis2AJ_Home2A",35,10,35,1132936,1,1
"1884_039_Vis2AJ_Home2A",35,10,35,1133436,2,2
"1884_039_Vis2AJ_Home2A",35,10,35,1133436,0,5
"1884_039_Vis2AJ_Home2A",36,10,36,1146136,1,1
"1884_039_Vis2AJ_Home2A",36,10,36,1146636,0,5
"1884_039_Vis2AJ_Home2A",36,10,36,1146636,2,2
"1884_039_Vis2AJ_Home2A",37,10,37,1158436,1,1
"1884_039_Vis2AJ_Home2A",37,10,37,1158936,2,2
"1884_039_Vis2AJ_Home2A",37,10,37,1158936,0,5
"1884_039_Vis2AJ_Home2A",38,11,38,1193786,1,1
"1884_039_Vis2AJ_Home2A",38,11,38,1194236,2,2
"1884_039_Vis2AJ_Home2A",38,11,38,1194236,0,5
"1884_039_Vis2AJ_Home2A",39,11,39,1212686,1,1
"1884_039_Vis2AJ_Home2A",39,11,39,1213186,0,5
"1884_039_Vis2AJ_Home2A",39,11,39,1213186,2,2
"1884_039_Vis2AJ_Home2A",40,11,40,1230836,1,1
"1884_039_Vis2AJ_Home2A",40,11,40,1231336,2,2
"1884_039_Vis2AJ_Home2A",40,11,40,1231336,0,5
"1884_039_Vis2AJ_Home2A",41,11,41,1249186,1,1
"1884_039_Vis2AJ_Home2A",41,11,41,1249636,10,4
"1884_039_Vis2AJ_Home2A",41,11,41,1249736,255,16
"1884_039_Vis2AJ_Home2A",41,11,41,1250586,255,16
"1884_039_Vis2AJ_Home2A",41,11,41,1251136,255,16
"1884_039_Vis2AJ_Home2A",41,11,41,1251636,255,16
"1884_039_Vis2AJ_Home2A",41,11,41,1251986,255,16
"1884_039_Vis2AJ_Home2A",41,11,41,1252236,255,16
"1884_039_Vis2AJ_Home2A",41,11,41,1252536,4,2
"1884_039_Vis2AJ_Home2A",41,11,41,1253036,4,3
"1884_039_Vis2AJ_Home2A",41,11,41,1253686,3,2
"1884_039_Vis2AJ_Home2A",41,11,41,1254086,0,5
"1884_039_Vis2AJ_Home2A",42,13,42,1378402,1,1
"1884_039_Vis2AJ_Home2A",42,13,42,1378902,0,5
"1884_039_Vis2AJ_Home2A",42,13,42,1378902,2,2
"1884_039_Vis2AJ_Home2A",43,13,43,1400702,1,1
"1884_039_Vis2AJ_Home2A",43,13,43,1401152,10,4
"1884_039_Vis2AJ_Home2A",43,13,43,1401452,0,5
"1884_039_Vis2AJ_Home2A",44,13,44,1425702,1,1
"1884_039_Vis2AJ_Home2A",44,13,44,1426202,2,2
