"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1884_105_Vis4AZ_Home4A",1,52626,-1.910007,57.2811,6.14079
"1884_105_Vis4AZ_Home4A",1,52676,-1.740519,50.5974,5.91837
"1884_105_Vis4AZ_Home4A",1,52726,-1.587831,43.9707,5.64651
"1884_105_Vis4AZ_Home4A",1,52776,-1.451937,37.4007,5.32524
"1884_105_Vis4AZ_Home4A",1,52826,-1.332843,30.888,4.95456
"1884_105_Vis4AZ_Home4A",1,52876,-1.230543,24.43206,4.5345
"1884_105_Vis4AZ_Home4A",1,52926,-1.145043,18.03315,4.065
"1884_105_Vis4AZ_Home4A",1,52976,-1.076337,11.69121,3.54609
"1884_105_Vis4AZ_Home4A",1,53026,-1.024431,5.40624,2.977794
"1884_105_Vis4AZ_Home4A",1,53076,-0.989319,-0.82173,2.360082
"1884_105_Vis4AZ_Home4A",1,53126,-0.971004,-6.99273,1.692957
"1884_105_Vis4AZ_Home4A",2,66376,-1.860003,56.7525,6.21465
"1884_105_Vis4AZ_Home4A",2,66426,-1.834257,50.0322,5.91399
"1884_105_Vis4AZ_Home4A",2,66476,-1.819284,43.3707,5.57454
"1884_105_Vis4AZ_Home4A",2,66526,-1.815081,36.768,5.19636
"1884_105_Vis4AZ_Home4A",2,66576,-1.821651,30.2244,4.77945
"1884_105_Vis4AZ_Home4A",2,66626,-1.838994,23.73945,4.32378
"1884_105_Vis4AZ_Home4A",2,66676,-1.867107,17.31333,3.82935
"1884_105_Vis4AZ_Home4A",2,66726,-1.905993,10.94601,3.29616
"1884_105_Vis4AZ_Home4A",2,66776,-1.955649,4.63752,2.724246
"1884_105_Vis4AZ_Home4A",2,66826,-2.016078,-1.612134,2.113578
"1884_105_Vis4AZ_Home4A",2,66876,-2.08728,-7.80297,1.464159
"1884_105_Vis4AZ_Home4A",3,82126,-1.721532,56.7855,6.13644
"1884_105_Vis4AZ_Home4A",3,82176,-1.57248,49.9749,5.7165
"1884_105_Vis4AZ_Home4A",3,82226,-1.432383,43.2336,5.25756
"1884_105_Vis4AZ_Home4A",3,82276,-1.301235,36.5622,4.75956
"1884_105_Vis4AZ_Home4A",3,82326,-1.179039,29.96004,4.22253
"1884_105_Vis4AZ_Home4A",3,82376,-1.065792,23.42748,3.64644
"1884_105_Vis4AZ_Home4A",3,82426,-0.9615,16.96443,3.03135
"1884_105_Vis4AZ_Home4A",3,82476,-0.866157,10.57089,2.377221
"1884_105_Vis4AZ_Home4A",3,82526,-0.779763,4.24686,1.684056
"1884_105_Vis4AZ_Home4A",3,82576,-0.702324,-2.007651,0.951855
"1884_105_Vis4AZ_Home4A",3,82626,-0.633834,-8.19264,0.1806222
"1884_105_Vis4AZ_Home4A",4,98626,-1.617759,51.9306,5.99907
"1884_105_Vis4AZ_Home4A",4,98676,-1.356441,45.2259,5.74974
"1884_105_Vis4AZ_Home4A",4,98726,-1.117983,38.5794,5.46132
"1884_105_Vis4AZ_Home4A",4,98776,-0.902385,31.9914,5.13378
"1884_105_Vis4AZ_Home4A",4,98826,-0.709647,25.46196,4.76709
"1884_105_Vis4AZ_Home4A",4,98876,-0.539769,18.99105,4.36134
"1884_105_Vis4AZ_Home4A",4,98926,-0.392754,12.57861,3.91644
"1884_105_Vis4AZ_Home4A",4,98976,-0.2685978,6.22467,3.43242
"1884_105_Vis4AZ_Home4A",4,99026,-0.1673028,-0.0707673,2.909307
"1884_105_Vis4AZ_Home4A",4,99076,-0.0888681,-6.30771,2.347071
"1884_105_Vis4AZ_Home4A",5,113576,-1.711656,58.1595,6.27552
"1884_105_Vis4AZ_Home4A",5,113626,-1.547652,51.327,6.04704
"1884_105_Vis4AZ_Home4A",5,113676,-1.393488,44.5734,5.7789
"1884_105_Vis4AZ_Home4A",5,113726,-1.249158,37.8987,5.4711
"1884_105_Vis4AZ_Home4A",5,113776,-1.114671,31.3032,5.12367
"1884_105_Vis4AZ_Home4A",5,113826,-0.990021,24.78636,4.73661
"1884_105_Vis4AZ_Home4A",5,113876,-0.875211,18.34854,4.30986
"1884_105_Vis4AZ_Home4A",5,113926,-0.770238,11.98965,3.84351
"1884_105_Vis4AZ_Home4A",5,113976,-0.675105,5.70966,3.33747
"1884_105_Vis4AZ_Home4A",5,114026,-0.589812,-0.491385,2.791806
"1884_105_Vis4AZ_Home4A",5,114076,-0.514356,-6.6135,2.206488
"1884_105_Vis4AZ_Home4A",6,147526,-1.912536,57.1557,5.90676
"1884_105_Vis4AZ_Home4A",6,147576,-1.765851,51.5511,6.00864
"1884_105_Vis4AZ_Home4A",6,147626,-1.614282,45.9945,6.01875
